acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.3.2-1
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
aom 2.0.0-1
arc-gtk-theme 20200513-1
archlinux-keyring 20200622-1
argon2 20190702-3
ark 20.04.3-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
attica 5.72.0-1
attr 2.4.48-3
audit 2.8.5-6
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.017-1
breeze 5.19.4-1
breeze-icons 5.72.0-1
brotli 1.0.7-3
btrfs-progs 5.7-1
bzip2 1.0.8-3
ca-certificates 20181109-4
ca-certificates-mozilla 3.55-2
ca-certificates-utils 20181109-4
cairo 1.17.2+25+gaee96d175-1
cantarell-fonts 1:0.201-1
cdparanoia 10.2-8
colord 1.4.4+9+g1ce26da-2
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.3-1
curl 7.71.1-1
dav1d 0.7.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.36.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dhcpcd 9.1.4-2
diffutils 3.7-3
dmraid 1.0.0.rc16.3-12
dosfstools 4.1-3
double-conversion 3.1.5-2
e2fsprogs 1.45.6-2
editorconfig-core-c 0.12.3-2
expat 2.2.9-3
ffmpeg 2:4.3.1-1
file 5.39-1
filesystem 2020.05.20-1
findutils 4.7.0-2
firefox 79.0-1
flac 1.3.3-2
fontconfig 2:2.13.91+48+gfcb0420-2
frameworkintegration 5.72.0-1
freetype2 2.10.2-1
fribidi 1.0.10-1
fuse-common 3.9.2-1
fuse2 2.9.9-4
fuse3 3.9.2-1
gawk 5.1.0-1
gcc-libs 10.1.0-2
gcr 3.36-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0+6+g5432316df-1
gettext 0.20.2-1
giblib 1.2.4-8
giflib 5.2.1-2
glib-networking 2.64.3-2
glib2 2.64.4-1
glibc 2.31-5
gmp 6.2.0-1
gnupg 2.2.21-1
gnutls 3.6.14-2
gpgme 1.14.0-1
gptfdisk 1.0.5-1
graphene 1.10.2-1
graphite 1:1.3.14-1
grep 3.4-1
grub 2:2.04-8
gsettings-desktop-schemas 3.36.1-1
gsm 1.0.19-1
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gstreamer 1.16.2-2
gtk-update-icon-cache 1:3.24.21-1
gtk3 1:3.24.21-1
gvfs 1.44.1-4
gzip 1.10-3
harfbuzz 2.7.0-1
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
htop 2.2.0-3
http-parser 2.9.4-1
hwids 20200306-1
iana-etc 20200720-1
icu 67.1-1
imlib2 1.6.1-2
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
iso-codes 4.5.0-1
jack 0.125.0-9
js60 60.9.0-2
json-c 0.15-1
json-glib 1.4.4-2
karchive 5.72.0-1
kauth 5.72.0-1
kbd 2.2.0-5
kbookmarks 5.72.0-1
kcalc 20.04.3-1
kcodecs 5.72.0-1
kcompletion 5.72.0-1
kconfig 5.72.0-1
kconfigwidgets 5.72.0-1
kcoreaddons 5.72.0-1
kcrash 5.72.0-1
kdbusaddons 5.72.0-1
kdecoration 5.19.4-1
kded 5.72.0-1
keyutils 1.6.3-1
kglobalaccel 5.72.0-1
kguiaddons 5.72.0-1
ki18n 5.72.0-1
kiconthemes 5.72.0-1
kidletime 5.72.0-1
kinit 5.72.0-1
kio 5.72.0-1
kitemmodels 5.72.0-1
kitemviews 5.72.0-1
kjobwidgets 5.72.0-1
kmod 27-1
knewstuff 5.72.0-1
knotifications 5.72.0-1
kpackage 5.72.0-1
kparts 5.72.0-1
kpty 5.72.0-1
krb5 1.18.2-1
kservice 5.72.0-1
ktexteditor 5.72.0-1
ktextwidgets 5.72.0-1
kwallet 5.72.0-1
kwayland 5.72.0-1
kwidgetsaddons 5.72.0-1
kwindowsystem 5.72.0-1
kwrite 20.04.3-1
kxmlgui 5.72.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.11-2
less 551-3
libaio 0.3.112-2
libarchive 3.4.3-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libblockdev 2.24-1
libbluray 1.2.0-3
libbytesize 2.3-1
libcanberra 0.30+2+gc0620e4-3
libcap 2.38-1
libcap-ng 0.7.10-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcroco 0.6.13-2
libcups 2.3.3-2
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdrm 2.4.102-1
libedit 20191231_3.1-1
libelf 0.180-1
libepoxy 1.5.4-2
libevdev 1.9.1-1
libexif 0.6.22-1
libffi 3.3-3
libfm-extra 1.3.1-2
libfm-qt 0.15.1-2
libfontenc 1.1.4-3
